exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 149, Start: 2026-02-10 11:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -9105m
Checking App ID: 150, Start: 2026-02-10 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -9025m
Checking App ID: 151, Start: 2026-02-17 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 994m
Checking App ID: 152, Start: 2026-02-15 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1945m
Checking App ID: 153, Start: 2026-02-15 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1825m
Checking App ID: 155, Start: 2026-02-15 18:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1515m
Checking App ID: 156, Start: 2026-02-10 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -8965m
Checking App ID: 157, Start: 2026-02-10 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -8905m
Checking App ID: 158, Start: 2026-02-24 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 11014m
Checking App ID: 159, Start: 2026-02-17 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 994m
Checking App ID: 160, Start: 2026-02-10 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -8845m
Checking App ID: 161, Start: 2026-02-12 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6295m
Checking App ID: 162, Start: 2026-02-10 08:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -9295m
Checking App ID: 163, Start: 2026-02-12 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -5965m
Checking App ID: 164, Start: 2026-02-12 09:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6355m
Checking App ID: 165, Start: 2026-02-12 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6265m
Checking App ID: 166, Start: 2026-02-12 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6205m
Checking App ID: 167, Start: 2026-02-12 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6145m
Checking App ID: 169, Start: 2026-02-12 09:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6355m
Checking App ID: 170, Start: 2026-02-12 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -6205m
Checking App ID: 171, Start: 2026-02-17 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 1114m
Checking App ID: 174, Start: 2026-02-17 08:56:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 810m
Checking App ID: 175, Start: 2026-02-22 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8194m
Checking App ID: 176, Start: 2026-02-22 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8194m
Checking App ID: 177, Start: 2026-02-22 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8014m
Checking App ID: 178, Start: 2026-03-07 10:24:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26818m
Checking App ID: 179, Start: 2026-02-22 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8134m
Checking App ID: 180, Start: 2026-02-24 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 11074m
Checking App ID: 182, Start: 2026-03-11 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 32794m
Checking App ID: 183, Start: 2026-02-28 11:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16784m
Checking App ID: 184, Start: 2026-03-14 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 37054m
Checking App ID: 185, Start: 2026-02-17 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 1054m
Checking App ID: 186, Start: 2026-03-14 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 36994m
Checking App ID: 187, Start: 2026-02-16 08:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -655m
Checking App ID: 188, Start: 2026-02-16 09:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -595m
Checking App ID: 190, Start: 2026-02-16 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -235m
Checking App ID: 191, Start: 2026-02-16 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -265m
Checking App ID: 192, Start: 2026-02-16 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -385m
Checking App ID: 193, Start: 2026-02-16 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -325m
Checking App ID: 194, Start: 2026-02-16 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -325m
Checking App ID: 195, Start: 2026-02-18 08:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2224m
Checking App ID: 196, Start: 2026-02-18 09:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2284m
Checking App ID: 197, Start: 2026-02-18 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2434m
Checking App ID: 198, Start: 2026-02-18 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2554m
Checking App ID: 199, Start: 2026-02-18 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 2374m
